Timeline Trace
Generated on: 2021-01-15 03:31:11
Msec since Epoch: 1610681471220
Profiled application: lane_detector_v2
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
19.673885,clGetPlatformIDs|General,START,,,,,,,,,,,0,
19.73369,clGetPlatformIDs|General,END,,,,,,,,,,,0,
19.745635,clGetPlatformIDs|General,START,,,,,,,,,,,1,
19.751661,clGetPlatformIDs|General,END,,,,,,,,,,,1,
19.759094,clGetPlatformInfo|General,START,,,,,,,,,,,2,
19.764432,clGetPlatformInfo|General,END,,,,,,,,,,,2,
19.769168,clGetPlatformInfo|General,START,,,,,,,,,,,3,
19.773863,clGetPlatformInfo|General,END,,,,,,,,,,,3,
19.847413,clGetDeviceIDs|General,START,,,,,,,,,,,4,
19.85954,clGetDeviceIDs|General,END,,,,,,,,,,,4,
19.864947,clGetDeviceIDs|General,START,,,,,,,,,,,5,
19.870011,clGetDeviceIDs|General,END,,,,,,,,,,,5,
19.877911,clRetainDevice|General,START,,,,,,,,,,,6,
19.883153,clRetainDevice|General,END,,,,,,,,,,,6,
19.887974,clRetainDevice|General,START,,,,,,,,,,,7,
19.892618,clRetainDevice|General,END,,,,,,,,,,,7,
19.899911,clCreateContext|General,START,,,,,,,,,,,8,
19.91823,clCreateContext|General,END,,,,,,,,,,,8,
19.924286,clCreateCommandQueue|General,START,,,,,,,,,,,9,
19.940985,clCreateCommandQueue|General,END,,,,,,,,,,,9,
19.947257,clGetDeviceInfo|General,START,,,,,,,,,,,10,
19.953904,clGetDeviceInfo|General,END,,,,,,,,,,,10,
19.958572,clGetDeviceInfo|General,START,,,,,,,,,,,11,
19.966404,clGetDeviceInfo|General,END,,,,,,,,,,,11,
22.150902,clCreateProgramWithBinary|General,START,,,,,,,,,,,12,
48.078937,clCreateProgramWithBinary|General,END,,,,,,,,,,,12,
48.111238,clCreateKernel|General,START,,,,,,,,,,,13,
49.474714,clCreateKernel|General,END,,,,,,,,,,,13,
49.491463,clCreateBuffer|General,START,,,,,,,,,,,14,
49.517877,clCreateBuffer|General,END,,,,,,,,,,,14,
49.52382,clCreateBuffer|General,START,,,,,,,,,,,15,
49.529784,clCreateBuffer|General,END,,,,,,,,,,,15,
49.537963,clSetKernelArg|General,START,,,,,,,,,,,16,
49.72501,clSetKernelArg|General,END,,,,,,,,,,,16,
49.736085,clSetKernelArg|General,START,,,,,,,,,,,17,
49.78895,clSetKernelArg|General,END,,,,,,,,,,,17,
49.800538,clSetKernelArg|General,START,,,,,,,,,,,18,
49.806479,clSetKernelArg|General,END,,,,,,,,,,,18,
49.810814,clSetKernelArg|General,START,,,,,,,,,,,19,
49.815362,clSetKernelArg|General,END,,,,,,,,,,,19,
49.819614,clSetKernelArg|General,START,,,,,,,,,,,20,
49.824238,clSetKernelArg|General,END,,,,,,,,,,,20,
49.828533,clSetKernelArg|General,START,,,,,,,,,,,21,
49.833013,clSetKernelArg|General,END,,,,,,,,,,,21,
49.840852,clEnqueueWriteBuffer|26303936,START,,,,,,,,,,,22,
50.538859,clEnqueueWriteBuffer|26303936,END,,,,,,,,,,,22,
50.560125,clEnqueueTask|26303936,START,,,,,,,,,,,23,
50.585375,WRITE_BUFFER,QUEUE,0X0|Unknown,327680,,,,,,,,,
50.603838,WRITE_BUFFER,SUBMIT,0X0|Unknown,327680,,,,,,,,,
50.632135,DEPENDENCY_EVENT,,1,2,
50.654815,WRITE_BUFFER,START,0X0|Unknown|0X7fe3e1f46700,327680,,,,,,,1,2,
50.678922,DEPENDENCY_EVENT,,1,2,
50.699817,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|all,QUEUE,0X1964980,1,,,,,,,,,
50.72067,clEnqueueTask|26303936,END,,,,,,,,,,,23,
50.730497,clWaitForEvents|General,START,,,,,,,,,,,24,
52.40567,WRITE_BUFFER,END,0X0|Unknown|0X7fe3e1f46700,327680,,,,,,,1,2|2,
52.442163,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|all,SUBMIT,0X1964980,1,,,,,,,,,
52.464579,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|all,START,0X1964980,1,,,,,,,2,None,
52.766731,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|canny_accel_1|,START,0X195C500,1,1,,,,,,,,
7068.741523,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|canny_accel_1|,END,0X195C500,1,1,,,,,,,,
7068.796566,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|all,END,0X1964980,1,,,,,,,2,None,
7068.890978,clWaitForEvents|General,END,,,,,,,,,,,24,
7068.918964,clGetEventProfilingInfo|General,START,,,,,,,,,,,25,
7068.92942,clGetEventProfilingInfo|General,END,,,,,,,,,,,25,
7068.934754,clGetEventProfilingInfo|General,START,,,,,,,,,,,26,
7068.940691,clGetEventProfilingInfo|General,END,,,,,,,,,,,26,
7068.971635,clCreateKernel|General,START,,,,,,,,,,,27,
7070.198557,clCreateKernel|General,END,,,,,,,,,,,27,
7070.208346,clCreateBuffer|General,START,,,,,,,,,,,28,
7070.218142,clCreateBuffer|General,END,,,,,,,,,,,28,
7070.223262,clSetKernelArg|General,START,,,,,,,,,,,29,
7070.230869,clSetKernelArg|General,END,,,,,,,,,,,29,
7070.235425,clSetKernelArg|General,START,,,,,,,,,,,30,
7070.347759,clSetKernelArg|General,END,,,,,,,,,,,30,
7070.365658,clSetKernelArg|General,START,,,,,,,,,,,31,
7070.3737,clSetKernelArg|General,END,,,,,,,,,,,31,
7070.378661,clSetKernelArg|General,START,,,,,,,,,,,32,
7070.383547,clSetKernelArg|General,END,,,,,,,,,,,32,
7070.389079,clEnqueueTask|26303936,START,,,,,,,,,,,33,
7070.414013,DEPENDENCY_EVENT,,3,4,
7070.436939,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|edgetracing_accel|1:1:1|all,QUEUE,0X1926970,1,,,,,,,,,
7070.453881,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|edgetracing_accel|1:1:1|all,SUBMIT,0X1926970,1,,,,,,,,,
7070.463357,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|edgetracing_accel|1:1:1|all,START,0X1926970,1,,,,,,,4,None,
7070.497645,clEnqueueTask|26303936,END,,,,,,,,,,,33,
7070.50642,clWaitForEvents|General,START,,,,,,,,,,,34,
7070.623278,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|edgetracing_accel|1:1:1|edgetracing_accel_1|,START,0X1948200,1,2,,,,,,,,
107782.7903,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|edgetracing_accel|1:1:1|edgetracing_accel_1|,END,0X1948200,1,2,,,,,,,,
107782.837,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|edgetracing_accel|1:1:1|all,END,0X1926970,1,,,,,,,4,None,
